district,police_per_district,district_population,allegation_count,allegations_per_officer,allegations_per_capita,allegations_per_capita_n
1,7694,62781,13617,1.769820639459319,0.21689683184402925,100.0
2,8008,95439,10739,1.341033966033966,0.11252213455715168,44.908142364870216
3,6864,75235,8707,1.268502331002331,0.11573071044061939,46.601717631466336
4,8575,123575,9760,1.1381924198250728,0.07898037628970261,27.203872849977305
5,6978,74396,8329,1.1936084838062482,0.11195494381418356,44.608763372874876
6,8380,90841,10127,1.208472553699284,0.11148049889367136,44.35833819612225
7,7210,71071,10984,1.5234396671289876,0.15454967567643624,67.09144322498477
8,10079,247373,11130,1.1042762178787577,0.0449927841761227,9.264279876253633
9,6787,165201,9291,1.3689406217769264,0.05624057965750812,15.201178027597525
10,5763,118093,7102,1.232344265139684,0.060139042957668955,17.25889499072247
11,5652,70474,12387,2.1916135881104033,0.1757669495132957,78.29050832419234
12,5784,127869,9985,1.726313969571231,0.07808773041159311,26.732709618718033
14,5014,117738,6232,1.242919824491424,0.05293108427185785,13.454334651091882
15,4676,59458,6770,1.447818648417451,0.11386188570083083,45.61530014537334
16,7166,199482,5474,0.7638850125593079,0.027441072377457614,0.0
17,4878,144096,3970,0.8138581385813858,0.02755107705973795,0.05806351973150039
18,8536,117041,8140,0.9536082474226805,0.06954827795387941,22.225349968234333
19,6869,200786,8756,1.2747124763429902,0.043608618130746166,8.533678679819296
20,5184,91279,3617,0.6977237654320988,0.03962576277128365,6.431417249141984
22,8329,101941,6066,0.7282987153319727,0.05950500779862862,16.92423366354745
24,4020,141038,5338,1.327860696517413,0.03784795587004921,5.4930415005028275
25,5699,200391,8199,1.4386734514827162,0.040915011153195506,7.111918272463651
