district,femalepolice,malepolice,fpolicepercent,mpolicepercent
1,934,6760,12.14,87.86
2,1679,6329,20.97,79.03
3,1315,5549,19.16,80.84
4,1174,7401,13.69,86.31
5,1470,5508,21.07,78.93
6,1362,7018,16.25,83.75
7,1134,6076,15.73,84.27
8,1012,9067,10.04,89.96
9,958,5829,14.12,85.88
10,721,5042,12.51,87.49
11,748,4904,13.23,86.77
12,994,4790,17.19,82.81
13,109,1008,9.76,90.24
14,673,4341,13.42,86.58
15,593,4083,12.68,87.32
16,901,6265,12.57,87.43
17,628,4250,12.87,87.13
18,821,7715,9.62,90.38
19,921,5948,13.41,86.59
20,807,4377,15.57,84.43
21,251,1240,16.83,83.17
22,1046,7283,12.56,87.44
23,174,1195,12.71,87.29
24,597,3423,14.85,85.15
25,667,5032,11.7,88.3
