id,name,area_type
1527,17th,police-districts
1528,20th,police-districts
1529,31st,police-districts
1530,31st,police-districts
1531,19th,police-districts
1532,25th,police-districts
1533,14th,police-districts
1534,7th,police-districts
1535,3rd,police-districts
1536,4th,police-districts
1537,6th,police-districts
1538,31st,police-districts
1539,22nd,police-districts
1540,5th,police-districts
1541,24th,police-districts
1542,16th,police-districts
1543,8th,police-districts
1544,18th,police-districts
1545,12th,police-districts
1546,11th,police-districts
1547,15th,police-districts
1548,10th,police-districts
1549,1st,police-districts
1550,9th,police-districts
1551,2nd,police-districts
