district,femalepolice,malepolice,fpolicepercent,test,mpolicepercent
1,137,840,14.02,977,85.98
2,192,669,22.3,861,77.7
3,204,551,27.02,755,72.98
4,133,660,16.77,793,83.23
5,188,528,26.26,716,73.74
6,179,624,22.29,803,77.71
7,179,684,20.74,863,79.26
8,129,766,14.41,895,85.59
9,127,598,17.52,725,82.48
10,106,560,15.92,666,84.08
11,130,609,17.59,739,82.41
12,151,591,20.35,742,79.65
13,27,192,12.33,219,87.67
14,99,489,16.84,588,83.16
15,116,514,18.41,630,81.59
16,130,678,16.09,808,83.91
17,106,517,17.01,623,82.99
18,114,805,12.4,919,87.6
19,160,633,20.18,793,79.82
20,112,498,18.36,610,81.64
21,39,235,14.23,274,85.77
22,129,564,18.61,693,81.39
23,30,229,11.58,259,88.42
24,101,453,18.23,554,81.77
25,119,632,15.85,751,84.15
