district,gender,race,major_award_count,allegation_count,sustained_count,unsustained_count,birth_year
9,M,White,0,0,0,0,1928
1,M,Black,0,0,0,0,1923
2,M,White,0,0,0,0,1938
17,M,White,0,0,0,0,1919
16,M,White,0,0,0,0,1923
16,M,White,0,0,0,0,1932
20,M,White,0,0,0,0,1930
15,M,White,0,0,0,0,1928
16,M,White,0,1,0,1,1928
17,M,White,0,0,0,0,1925
18,M,Black,0,5,0,2,1960
17,M,White,0,1,1,0,1942
13,F,Black,0,0,0,0,1950
21,M,White,0,0,0,0,1925
18,M,White,0,0,0,0,1943
20,M,White,0,0,0,0,1924
7,M,Black,0,0,0,0,1923
7,M,White,0,0,0,0,1936
6,M,Black,0,0,0,0,1923
23,M,White,0,0,0,0,1929
25,M,White,0,0,0,0,1929
8,M,White,0,0,0,0,1946
15,M,Black,0,0,0,0,1925
10,M,Hispanic,0,0,0,0,1922
3,M,White,0,0,0,0,1934
2,M,White,0,0,0,0,1938
18,M,White,0,0,0,0,1932
5,F,Black,0,0,0,0,1947
5,M,White,0,0,0,0,1928
18,M,Black,0,0,0,0,1945
4,M,White,0,0,0,0,1933
2,M,Black,0,0,0,0,1929
14,M,White,0,0,0,0,1947
3,M,Black,0,0,0,0,1921
6,M,White,0,0,0,0,1935
1,M,White,0,0,0,0,1933
23,M,White,0,0,0,0,1924
1,M,Black,0,0,0,0,1917
2,M,Black,0,0,0,0,1951
2,M,White,0,0,0,0,1924
8,M,White,0,0,0,0,1923
6,M,White,0,0,0,0,1926
11,M,White,0,0,0,0,1944
6,M,Black,0,0,0,0,1922
8,M,White,0,0,0,0,1921
7,M,White,0,0,0,0,1947
18,M,White,0,0,0,0,1924
19,M,White,0,0,0,0,1939
17,M,White,0,0,0,0,1946
11,M,White,0,0,0,0,1919
15,M,White,0,0,0,0,1918
13,M,White,0,0,0,0,1934
8,M,White,0,0,0,0,1922
5,M,White,0,0,0,0,1930
3,M,Black,0,0,0,0,1940
16,M,White,0,12,0,5,1956
6,M,White,0,56,1,28,1949
10,M,Black,1,7,1,4,1941
6,F,Black,1,3,0,0,1968
15,M,White,0,45,2,12,1954
6,M,Black,0,43,3,20,1956
21,M,Hispanic,0,2,1,1,1947
6,M,Black,0,26,3,10,1952
6,M,Black,0,38,5,18,1958
15,M,White,0,0,0,0,1949
24,M,Hispanic,0,10,2,6,1956
10,M,Asian/Pacific,1,24,4,11,1958
8,M,Black,0,14,1,3,1956
4,M,Hispanic,1,72,5,49,1956
10,M,White,1,14,1,7,1946
3,M,Black,0,15,2,10,1943
3,M,White,0,11,1,7,1948
17,M,White,0,1,1,0,1948
9,M,White,0,3,2,0,1954
25,M,White,0,29,1,22,1942
7,M,Black,0,56,4,35,1959
6,M,Black,0,10,1,5,1947
19,M,White,0,5,1,3,1947
10,M,Hispanic,1,62,4,29,1967
25,M,White,1,17,1,9,1960
19,M,White,0,6,0,4,1937
10,M,White,1,20,0,5,1961
24,F,White,0,6,0,2,1942
25,F,White,0,12,0,7,1944
6,M,Hispanic,0,11,0,3,1983
9,M,White,0,1,0,0,1949
6,M,Black,0,0,0,0,1925
14,M,White,0,0,0,0,1941
10,M,White,1,13,1,9,1946
10,M,Hispanic,1,9,3,4,1945
25,M,Hispanic,0,17,1,6,1956
8,M,White,0,13,1,6,1948
6,M,Black,0,90,8,56,1962
12,M,White,0,33,1,16,1972
8,F,White,0,31,3,17,1955
8,M,White,0,10,1,4,1949
9,F,White,0,15,1,6,1957
6,M,Black,0,57,17,15,1952
24,M,White,0,4,0,2,1953
15,F,Hispanic,0,4,0,2,1957
23,M,White,0,0,0,0,1950
11,M,White,0,18,0,8,1942
25,M,White,0,3,0,0,1981
12,M,White,0,8,0,8,1970
6,M,Black,0,1,1,0,1942
22,M,White,0,18,3,8,1938
9,M,White,0,31,1,22,1943
15,M,White,0,1,1,0,1939
25,M,White,0,17,0,14,1947
23,M,White,0,11,0,7,1949
15,M,White,0,10,0,2,1943
19,M,White,0,0,0,0,1927
19,M,White,0,0,0,0,1938
5,M,Black,0,0,0,0,1938
6,M,Black,0,0,0,0,1931
24,F,White,0,16,0,9,1952
14,M,Hispanic,0,0,0,0,1949
13,M,Hispanic,0,1,0,0,1948
5,M,White,0,3,1,2,1945
4,M,Black,1,1,0,1,1936
22,M,White,0,0,0,0,1924
10,M,White,1,4,1,2,1946
7,M,Black,0,12,2,6,1939
9,M,White,0,0,0,0,1929
3,M,Black,0,15,2,10,1946
2,M,Black,0,4,1,2,1934
1,M,Black,0,0,0,0,1947
7,M,Black,0,4,0,1,1949
